site_name,site_id,buffer_m,year,image_count,qa_flag,mean_ndvi,mean_ndmi,mean_ndbi,mean_ndti,mean_savi,mean_bsi,bare_pct,mining_soil_pct,non_mining_soil_pct,valid_px_pct
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2014,15,ok,0.5849565382390568,0.05565347052527557,-0.05565347052527557,0.05718885104275017,0.3407381699747497,0.006447184845358528,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2015,15,ok,0.5931865089382528,0.0675108311413919,-0.0675108311413919,0.050562633959547146,0.34424694782184817,-0.004009092686296461,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2016,15,ok,0.5570794662889028,0.025803648830302575,-0.025803648830302575,0.07342933559273064,0.3222755589462134,0.03420916116452127,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2017,15,ok,0.4798963701165252,-0.0020608743490175847,0.0020608743490175847,0.1166330889280475,0.293875413100752,0.07048251867118535,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2018,15,ok,0.461471473556823,-0.03167953192463492,0.03167953192463492,0.11014963036388203,0.27374560734288844,0.09058007802683747,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2019,15,ok,0.4645628069511889,-0.041268023586709064,0.041268023586709064,0.11161740594809033,0.2699045104946712,0.09413326602484028,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2020,15,ok,0.6276482348307568,0.06165331379735945,-0.06165331379735945,0.021091737903432863,0.351203750447461,-0.011692987244614643,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2021,15,ok,0.49943292040432274,-0.006144219786259155,0.006144219786259155,0.10777334621052462,0.28752785387794394,0.06772514186117945,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2022,15,ok,0.5735528512055046,0.03937927336900702,-0.03937927336900702,0.03723195730661574,0.3287877837164843,0.01941189142275356,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2023,15,ok,0.6276244402486809,0.10638299571272898,-0.10638299571272898,0.0174147666658661,0.3473954820019952,-0.04616792411027364,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2024,15,ok,0.5765939803073249,0.04168507492215098,-0.04168507492215098,0.035183520584098876,0.3422082937182225,0.019549894008747053,0.0,0.0,99.62082939226666,99.62082939226666
Divisadero Mine,Divisadero Mine_0000000000000000001d,2000,2025,15,ok,0.6346187202718764,0.07537853391785054,-0.07537853391785054,0.014563285096760869,0.3533793716145428,-0.018989406099313773,0.028014622527816977,0.028014622527816977,99.59281476973884,99.62082939226666
El Porvenir,El Porvenir_00000000000000000023,1000,1984,4,ok,0.2990696462967158,-0.05731355535781404,0.05731355535781404,0.14297825585996196,0.20672788430094202,0.13513010057811434,0.0,0.0,99.61579175877188,99.61579175877188
