system:index,area_bare_ha,area_sparse_ha,area_total_ha,area_veg_ha,bare_pct,buffer_m,commodities,end_date,image_count,mean_bsi,mean_ndbi,mean_ndmi,mean_ndti,mean_ndvi,mean_savi,median_ndvi,mining_soil_pct,ndvi_sd,non_mining_soil_pct,prod_stage,qa_flag,site_buffer_key,site_id,site_name,site_year_key,start_date,topo_correction_applied,valid_px_pct,year,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_00000000000000000023,0.0,0.0,310.40606292269405,309.2134572476733,0.0,1000,unknown,1990-05-01,9,0.09324543959364766,0.027455424750811544,-0.027455424750811544,0.09339226968954606,0.3818096569577386,0.23886222090161707,0.37590667674440215,0.0,0.07155947545576302,99.61579175877188,unknown,ok,El Porvenir_00000000000000000023_1000,El Porvenir_00000000000000000023,El Porvenir,El Porvenir_00000000000000000023_1989.0,1989-11-01,false,99.61579175877188,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_0000000000000000001d,0.0,2.029572721088634,1241.6242449413928,1234.8867980249956,0.0,2000,unknown,1990-05-01,9,0.12988047260785646,0.08071843218184407,-0.08071843218184407,0.10156619592844947,0.364251430607953,0.2206107091227744,0.3544442907527641,0.0,0.07374603200227528,99.62082939226669,unknown,ok,Divisadero Mine_0000000000000000001d_2000,Divisadero Mine_0000000000000000001d,Divisadero Mine,Divisadero Mine_0000000000000000001d_1989.0,1989-11-01,false,99.62082939226666,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_0000000000000000001f,0.0,0.0,1241.6242449414217,1236.9372219244644,0.0,2000,unknown,1990-05-01,9,0.07407481367838817,0.011764729702169052,-0.011764729702169052,0.0785113452366067,0.450038279014193,0.2708852389721446,0.4503398481784375,0.0,0.07574588704778391,99.62250873917347,unknown,ok,Monte Mayor Mine_0000000000000000001f_2000,Monte Mayor Mine_0000000000000000001f,Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f_1989.0,1989-11-01,false,99.62250873917347,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_00000000000000000023,4.867589294910431,10.52874939757235,1241.6242449414221,1221.5065579652783,0.39203400825505597,2000,unknown,1990-05-01,9,0.09071264888647806,0.025897459979178163,-0.025897459979178163,0.08896668933249882,0.3881925861571562,0.2366382945991003,0.38474746855408964,0.39203400825505597,0.08313773546328171,99.2277101854576,unknown,ok,El Porvenir_00000000000000000023_2000,El Porvenir_00000000000000000023,El Porvenir,El Porvenir_00000000000000000023_1989.0,1989-11-01,false,99.61974419371263,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_0000000000000000001d,0.0,1.4145056943098704,310.40606292270024,256.8834230348177,0.0,1000,unknown,1991-05-01,2,0.13774464385574892,0.08584039009506073,-0.08584039009506073,0.11414828009349953,0.3065713047941919,0.20351942096582343,0.29962839421246057,0.0,0.05243861388820698,83.21291352915712,unknown,ok,Divisadero Mine_0000000000000000001d_1000,Divisadero Mine_0000000000000000001d,Divisadero Mine,Divisadero Mine_0000000000000000001d_1990.0,1990-11-01,false,83.21291352915712,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_0000000000000000001f,0.0,0.0,310.4060629226929,309.1930664885276,0.0,1000,unknown,1991-05-01,2,0.06759160354933394,-0.0019465316089728273,0.0019465316089728273,0.09660884964687312,0.3867173233238945,0.24786105511368364,0.3857568836517445,0.0,0.050523993860417844,99.60922269921403,unknown,ok,Monte Mayor Mine_0000000000000000001f_1000,Monte Mayor Mine_0000000000000000001f,Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f_1990.0,1990-11-01,false,99.60922269921403,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_00000000000000000023,0.0,5.262964862585068,310.40606292269405,96.93238814484837,0.0,1000,unknown,1991-05-01,2,0.09428879810324159,0.034466544328892165,-0.034466544328892165,0.09344164245693048,0.2697389656422131,0.19251788006557594,0.24878822565078734,0.0,0.06269262339373924,32.92311755936448,unknown,ok,El Porvenir_00000000000000000023_1000,El Porvenir_00000000000000000023,El Porvenir,El Porvenir_00000000000000000023_1990.0,1990-11-01,false,32.92311755936448,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_0000000000000000001d,0.0,15.929450891415279,1241.6242449413928,969.7753052681101,0.0,2000,unknown,1991-05-01,2,0.13579123884808125,0.08652999044572154,-0.08652999044572154,0.11027616606534921,0.3080277464470857,0.20253542731974125,0.2978368254827206,0.0,0.06266601933587604,79.38833025977618,unknown,ok,Divisadero Mine_0000000000000000001d_2000,Divisadero Mine_0000000000000000001d,Divisadero Mine,Divisadero Mine_0000000000000000001d_1990.0,1990-11-01,false,79.38833025977618,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_0000000000000000001f,0.0,0.0,1241.6242449414217,1095.1943968054127,0.0,2000,unknown,1991-05-01,2,0.07432005905652399,0.009768812320824818,-0.009768812320824818,0.09404638722613926,0.3950705136990915,0.2548092502201293,0.3937393879120269,0.0,0.062036135702154,88.20658917280426,unknown,ok,Monte Mayor Mine_0000000000000000001f_2000,Monte Mayor Mine_0000000000000000001f,Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f_1990.0,1990-11-01,false,88.20658917280426,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_00000000000000000023,2.7814921438694,28.608085057314703,1241.6242449414221,402.5890472388735,0.22402044380187072,2000,unknown,1991-05-01,2,0.10074682558266282,0.04071086296465379,-0.04071086296465379,0.09671593504021744,0.27801881091670116,0.1935294003762051,0.26754660740728553,0.22402044380187072,0.06709261270782466,34.72847232590335,unknown,ok,El Porvenir_00000000000000000023_2000,El Porvenir_00000000000000000023,El Porvenir,El Porvenir_00000000000000000023_1990.0,1990-11-01,false,34.95249276970521,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
