X,Y,Z,Name,description,timestamp,begin,end
-88.90755,13.77007,0,El Rosario Perlite Deposit,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057211"">10057211</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.16477,13.73729,0,Ciudad Delgado,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057212"">10057212</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.46478,14.14671,0,Cerro Afate,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057213"">10057213</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-88.18503,13.66757,0,Yamabal,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057214"">10057214</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.50006,13.93422,0,Cerro Pacho,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057215"">10057215</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.92979,13.75868,0,Cerro Chacchacaste,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057216"">10057216</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-88.76393,13.66034,0,El Salvador,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057217"">10057217</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-88.97866,13.78646,0,Cerro Quemado,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057218"">10057218</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.00061,13.77951,0,Cerro El Paraiso,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057219"">10057219</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-88.06002,13.60091,0,Divisadero Mine,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10085938"">10085938</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Past Producer</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Gold</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Gold, Silver</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
